,split,NL,MR,ALIGNMENT
0,train,please explain fare code f,answer(fare_basis_code(f)),"[['please', 'answer'], ['explain', 'fare_basis_code(f)'], ['fare', 'NULL'], ['code', 'NULL'], ['f', 'NULL']]"
1,train,what is fare code h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['fare', 'NULL'], ['code', 'NULL'], ['h', 'NULL']]"
2,train,what does fare code q mean,answer(fare_basis_code(q)),"[['what', 'answer'], ['does', 'fare_basis_code(q)'], ['fare', 'NULL'], ['code', 'NULL'], ['q', 'NULL'], ['mean', 'NULL']]"
3,train,what is fare code h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['fare', 'NULL'], ['code', 'NULL'], ['h', 'NULL']]"
4,train,what does fare code m mean,answer(fare_basis_code(m)),"[['what', 'answer'], ['does', 'fare_basis_code(m)'], ['fare', 'NULL'], ['code', 'NULL'], ['m', 'NULL'], ['mean', 'NULL']]"
5,train,what is fare code h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['fare', 'NULL'], ['code', 'NULL'], ['h', 'NULL']]"
6,train,what is fare code h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['fare', 'NULL'], ['code', 'NULL'], ['h', 'NULL']]"
7,train,what is booking class c,answer(fare_basis_code(c)),"[['what', 'answer'], ['is', 'fare_basis_code(c)'], ['booking', 'NULL'], ['class', 'NULL'], ['c', 'NULL']]"
8,train,explain the fare code q,answer(fare_basis_code(q)),"[['NULL', 'answer'], ['explain', 'fare_basis_code(q)'], ['the', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['q', 'NULL']]"
9,train,what is fare code h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['fare', 'NULL'], ['code', 'NULL'], ['h', 'NULL']]"
10,train,what is fare code h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['fare', 'NULL'], ['code', 'NULL'], ['h', 'NULL']]"
11,train,what does code y mean,answer(fare_basis_code(y)),"[['what', 'answer'], ['does', 'fare_basis_code(y)'], ['code', 'NULL'], ['y', 'NULL'], ['mean', 'NULL']]"
12,train,what is fare code c,answer(fare_basis_code(c)),"[['what', 'answer'], ['is', 'fare_basis_code(c)'], ['fare', 'NULL'], ['code', 'NULL'], ['c', 'NULL']]"
13,train,what is fare code y mean,answer(fare_basis_code(y)),"[['what', 'answer'], ['is', 'NULL'], ['fare', 'fare_basis_code(y)'], ['code', 'NULL'], ['y', 'NULL'], ['mean', 'NULL']]"
14,train,what is fare code h,answer(fare_basis_code(h)),"[['what', 'answer'], ['is', 'fare_basis_code(h)'], ['fare', 'NULL'], ['code', 'NULL'], ['h', 'NULL']]"
15,train,what does the fare code f mean,answer(fare_basis_code(f)),"[['what', 'answer'], ['does', 'fare_basis_code(f)'], ['the', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['f', 'NULL'], ['mean', 'NULL']]"
16,train,what does the fare code f mean,answer(fare_basis_code(f)),"[['what', 'answer'], ['does', 'fare_basis_code(f)'], ['the', 'NULL'], ['fare', 'NULL'], ['code', 'NULL'], ['f', 'NULL'], ['mean', 'NULL']]"
17,train,what does fare code y mean,answer(fare_basis_code(y)),"[['what', 'answer'], ['does', 'fare_basis_code(y)'], ['fare', 'NULL'], ['code', 'NULL'], ['y', 'NULL'], ['mean', 'NULL']]"
