,ID,MR_GOLD,MR_MN,MN,PERM
0,0,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
1,1,answer high_point_1 state next_to_2 stateid(state_name),answer high_point_1 state next_to_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
2,2,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
3,3,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
4,4,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
5,5,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
6,6,answer count state low_point_2 lower_2 low_point_1 stateid(state_name),count state answer low_point_2 lower_2 low_point_1 stateid(state_name),0,"[2, 3, 1, 4, 5, 6, 7]"
7,7,answer state loc_2 countryid(country_name),answer state loc_2 countryid(country_name),1,"[1, 2, 3, 4]"
8,8,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
9,9,answer city loc_2 countryid(country_name),answer city loc_2 countryid(country_name),1,"[1, 2, 3, 4]"
10,10,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
11,11,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
12,12,answer lake loc_2 stateid(state_name),answer lake loc_2 stateid(state_name),1,"[1, 2, 3, 4]"
13,13,answer largest state(all),answer largest state(all),1,"[1, 2, 3]"
14,14,answer longest river traverse_2 countryid(country_name),answer longest river traverse_2 countryid(country_name),1,"[1, 2, 3, 4, 5]"
15,15,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1,"[1, 2, 3, 4, 5]"
16,16,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1,"[1, 2, 3, 4]"
17,17,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]"
18,18,answer size stateid(state_name),answer size stateid(state_name),1,"[1, 2, 3]"
