ID,MR_GOLD,MR_MN,MN
0,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1
1,answer high_point_1 state next_to_2 stateid(state_name),answer high_point_1 state next_to_2 stateid(state_name),1
2,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
3,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
4,answer capital loc_2 stateid(state_name),answer capital loc_2 stateid(state_name),1
5,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
6,answer count state low_point_2 lower_2 low_point_1 stateid(state_name),count state answer low_point_2 lower_2 low_point_1 stateid(state_name),0
7,answer state loc_2 countryid(country_name),answer state loc_2 countryid(country_name),1
8,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1
9,answer city loc_2 countryid(country_name),answer city loc_2 countryid(country_name),1
10,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1
11,answer city loc_2 stateid(state_name),answer city loc_2 stateid(state_name),1
12,answer lake loc_2 stateid(state_name),answer lake loc_2 stateid(state_name),1
13,answer largest state(all),answer largest state(all),1
14,answer longest river traverse_2 countryid(country_name),answer longest river traverse_2 countryid(country_name),1
15,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1
16,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
17,answer size stateid(state_name),answer size stateid(state_name),1
18,answer size stateid(state_name),answer size stateid(state_name),1
19,answer size stateid(state_name),answer size stateid(state_name),1
20,answer size stateid(state_name),answer size stateid(state_name),1
21,answer size stateid(state_name),answer size stateid(state_name),1
22,"answer size city cityid(city_name, _)","answer size city cityid(city_name, _)",1
23,answer elevation_1 highest place loc_2 state(all),answer elevation_1 highest place loc_2 state(all),1
24,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1
25,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1
26,answer elevation_1 highest place loc_2 countryid(country_name),answer elevation_1 highest place loc_2 countryid(country_name),1
27,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1
28,answer elevation_1 highest place loc_2 largest state(all),answer elevation_1 highest place loc_2 largest state(all),1
29,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1
30,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1
31,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1
32,answer elevation_1 highest place loc_2 stateid(state_name),answer elevation_1 highest place loc_2 stateid(state_name),1
33,answer size stateid(state_name),answer size stateid(state_name),1
34,answer size stateid(state_name),answer size stateid(state_name),1
35,answer size largest city loc_2 stateid(state_name),answer size largest city loc_2 stateid(state_name),1
36,answer len riverid(river_name),answer len riverid(river_name),1
37,answer len riverid(river_name),answer len riverid(river_name),1
38,answer len riverid(river_name),answer len riverid(river_name),1
39,answer len longest river loc_2 stateid(state_name),answer len longest river loc_2 stateid(state_name),1
40,answer len longest river loc_2 countryid(country_name),answer len longest river loc_2 countryid(country_name),1
41,answer len riverid(river_name),answer len riverid(river_name),1
42,answer len riverid(river_name),answer len riverid(river_name),1
43,answer len riverid(river_name),answer len riverid(river_name),1
44,answer len riverid(river_name),answer len riverid(river_name),1
45,answer len riverid(river_name),answer len riverid(river_name),1
46,answer len riverid(river_name),answer len riverid(river_name),1
47,answer len riverid(river_name),answer len riverid(river_name),1
48,answer len shortest river loc_2 countryid(country_name),answer len shortest river loc_2 countryid(country_name),1
49,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1
50,answer count capital loc_2 stateid(state_name),answer count capital stateid(state_name) loc_2,0
51,answer count city loc_2 stateid(state_name),answer count city loc_2 stateid(state_name),1
52,answer count city loc_2 stateid(state_name),answer count city loc_2 stateid(state_name),1
53,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1
54,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1
55,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1
56,answer count city loc_2 countryid(country_name),answer count city loc_2 countryid(country_name),1
57,answer count city loc_2 stateid(state_name),answer count city stateid(state_name) loc_2,0
58,answer count city loc_2 countryid(country_name),answer count city countryid(country_name) loc_2,0
59,"answer count intersection city cityid(city_name, _) loc_2 countryid(country_name)","answer count intersection city cityid(city_name, _) loc_2 countryid(country_name)",1
60,answer population_1 largest city(all),answer population_1 largest city(all),1
61,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
62,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
63,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
64,answer count river riverid(river_name),answer count riverid(river_name),1
65,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
66,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1
67,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1
68,answer count major city loc_2 state next_to_2 stateid(state_name),answer count major city loc_2 state next_to_2 stateid(state_name),1
69,answer count major city loc_2 state next_to_2 stateid(state_name),answer count major city loc_2 state next_to_2 stateid(state_name),1
70,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1
71,answer count major city(all),answer count major city(all),1
72,answer count major city loc_2 stateid(state_name),answer count major city loc_2 stateid(state_name),1
73,answer count major river traverse_2 stateid(state_name),answer count major river traverse_2 stateid(state_name),1
74,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
75,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
76,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
77,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
78,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
79,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
80,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
81,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
82,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
83,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
84,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
85,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
86,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
87,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
88,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
89,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
90,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
91,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
92,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
93,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
94,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
95,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
96,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
97,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
98,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
99,answer population_1 largest city loc_2 stateid(state_name),answer population_1 largest city loc_2 stateid(state_name),1
100,answer population_1 capital loc_2 stateid(state_name),answer population_1 capital loc_2 stateid(state_name),1
101,answer population_1 capital loc_2 stateid(state_name),answer population_1 capital loc_2 stateid(state_name),1
102,answer population_1 smallest state next_to_2 stateid(state_name),answer population_1 smallest state next_to_2 stateid(state_name),1
103,answer population_1 largest_one density_1 state(all),answer population_1 state(all) largest_one density_1,0
104,answer population_1 countryid(country_name),answer population_1 countryid(country_name),1
105,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
106,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
107,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
108,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
109,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
110,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
111,answer count riverid(river_name),answer count riverid(river_name),1
112,answer count river loc_2 stateid(state_name),answer count river loc_2 stateid(state_name),1
