,split,NL,MR,ALIGNMENT
0,train,list all the flights that arrive at general mitchell international from various cities,( _lambda $0 e ( _and ( _flight $0 ) ( _to $0 mke:_ap ) ( _exists $1 ( _and ( _city $1 ) ( _from $0 $1 ) ) ) ) ),"[['list', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['all', 'NULL'], ['NULL', '$0'], ['the', 'NULL'], ['flights', '_flight'], ['that', 'NULL'], ['arrive', 'mke:_ap'], ['NULL', '$1'], ['NULL', '_and'], ['at', 'NULL'], ['NULL', '$1'], ['general', 'NULL'], ['NULL', '$0'], ['NULL', '$1'], ['mitchell', 'NULL'], ['international', 'NULL'], ['from', '_from'], ['various', '_to'], ['cities', '_city']]"
1,train,give me the flights leaving denver august ninth coming back to boston,( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 denver:_ci ) ( _to $0 boston:_ci ) ( _day_number $0 9:_dn ) ( _month $0 august:_mn ) ) ),"[['give', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['me', 'NULL'], ['NULL', '$0'], ['the', 'NULL'], ['flights', '_flight'], ['leaving', '_from'], ['denver', 'denver:_ci'], ['NULL', '$0'], ['august', 'august:_mn'], ['NULL', '_day_number'], ['NULL', '$0'], ['ninth', '9:_dn'], ['NULL', '_month'], ['NULL', '$0'], ['coming', 'NULL'], ['back', 'NULL'], ['to', '_to'], ['boston', 'boston:_ci']]"
2,train,what flights from tacoma to orlando on saturday,( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 tacoma:_ci ) ( _to $0 orlando:_ci ) ( _day $0 saturday:_da ) ) ),"[['what', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['flights', '_flight'], ['NULL', '$0'], ['from', '_from'], ['NULL', '$0'], ['tacoma', 'tacoma:_ci'], ['to', '_to'], ['NULL', '$0'], ['orlando', 'orlando:_ci'], ['on', '_day'], ['NULL', '$0'], ['saturday', 'saturday:_da']]"
3,train,what is the most expensive one way fare from boston to atlanta on american airlines,( _max $0 ( _exists $1 ( _and ( _oneway $1 ) ( _airline $1 aa:_al ) ( _from $1 boston:_ci ) ( _to $1 atlanta:_ci ) ( _= ( _fare $1 ) $0 ) ) ) ),"[['what', '_exists'], ['NULL', '$0'], ['is', 'NULL'], ['NULL', '$1'], ['NULL', '_and'], ['the', 'NULL'], ['most', '_max'], ['expensive', 'NULL'], ['NULL', '$1'], ['one', '_oneway'], ['way', 'NULL'], ['NULL', '$1'], ['fare', '_fare'], ['from', '_from'], ['NULL', '$1'], ['boston', 'boston:_ci'], ['NULL', '_='], ['to', '_to'], ['NULL', '$1'], ['NULL', '$0'], ['atlanta', 'atlanta:_ci'], ['on', 'NULL'], ['american', 'aa:_al'], ['airlines', '_airline']]"
4,train,what flights return from denver to philadelphia on a saturday,( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 denver:_ci ) ( _to $0 philadelphia:_ci ) ( _day $0 saturday:_da ) ) ),"[['what', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['flights', '_flight'], ['NULL', '$0'], ['return', 'NULL'], ['from', '_from'], ['denver', 'denver:_ci'], ['to', '_to'], ['NULL', '$0'], ['philadelphia', 'philadelphia:_ci'], ['on', '_day'], ['NULL', '$0'], ['a', 'NULL'], ['saturday', 'saturday:_da']]"
5,train,can you list all flights from chicago to milwaukee,( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 chicago:_ci ) ( _to $0 milwaukee:_ci ) ) ),"[['can', '_lambda'], ['NULL', '$0'], ['you', 'NULL'], ['list', 'e'], ['all', 'NULL'], ['flights', '_flight'], ['from', '_from'], ['NULL', '$0'], ['chicago', 'chicago:_ci'], ['to', '_to'], ['NULL', '$0'], ['milwaukee', 'milwaukee:_ci']]"
6,train,show me the flights from denver that go to pittsburgh and then atlanta,( _lambda $0 e ( _and ( _flight $0 ) ( _from $0 denver:_ci ) ( _to $0 atlanta:_ci ) ( _stop $0 pittsburgh:_ci ) ) ),"[['show', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['me', 'NULL'], ['NULL', '$0'], ['the', 'NULL'], ['flights', '_flight'], ['from', '_from'], ['denver', 'denver:_ci'], ['NULL', '$0'], ['that', 'NULL'], ['go', 'NULL'], ['to', '_to'], ['pittsburgh', 'pittsburgh:_ci'], ['and', 'NULL'], ['then', '_stop'], ['atlanta', 'atlanta:_ci']]"
7,train,i'd like to see flights from baltimore to atlanta that arrive before noon and i'd like to see flights from denver to atlanta that arrive before noon,( _lambda $0 e ( _or ( _and ( _flight $0 ) ( _< ( _arrival_time $0 ) 1200:_ti ) ( _from $0 baltimore:_ci ) ( _to $0 atlanta:_ci ) ) ( _and ( _flight $0 ) ( _< ( _arrival_time $0 ) 1200:_ti ) ( _from $0 denver:_ci ) ( _to $0 atlanta:_ci ) ) ) ),"[[""i'd"", '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['like', 'NULL'], ['to', 'NULL'], ['see', '_and'], ['NULL', '$0'], ['flights', '_flight'], ['from', '_from'], ['NULL', '$0'], ['baltimore', 'baltimore:_ci'], ['to', '_to'], ['NULL', '$0'], ['atlanta', 'atlanta:_ci'], ['that', 'NULL'], ['arrive', '_arrival_time'], ['before', '_<'], ['noon', '1200:_ti'], ['and', '_or'], ['NULL', '$0'], [""i'd"", '_and'], ['like', 'NULL'], ['NULL', '$0'], ['to', 'NULL'], ['see', 'NULL'], ['NULL', '$0'], ['flights', '_flight'], ['from', '_from'], ['NULL', '$0'], ['denver', 'denver:_ci'], ['to', '_to'], ['atlanta', 'atlanta:_ci'], ['that', 'NULL'], ['arrive', '_arrival_time'], ['before', '_<'], ['noon', '1200:_ti']]"
8,train,do you have an 819 flight from denver to san francisco,( _lambda $0 e ( _and ( _flight $0 ) ( _departure_time $0 819:_ti ) ( _from $0 denver:_ci ) ( _to $0 san_francisco:_ci ) ) ),"[['do', '_lambda'], ['NULL', '$0'], ['NULL', 'e'], ['NULL', '_and'], ['you', 'NULL'], ['NULL', '$0'], ['NULL', '_departure_time'], ['NULL', '$0'], ['have', 'NULL'], ['an', '819:_ti'], ['NULL', '$0'], ['819', 'NULL'], ['flight', '_flight'], ['NULL', '$0'], ['from', '_from'], ['denver', 'denver:_ci'], ['to', '_to'], ['san', 'san_francisco:_ci'], ['francisco', 'NULL']]"
9,train,can you list all round trip flights from orlando to kansas city and then to minneapolis,( _lambda $0 e ( _and ( _flight $0 ) ( _round_trip $0 ) ( _from $0 orlando:_ci ) ( _to $0 minneapolis:_ci ) ( _stop $0 kansas_city:_ci ) ) ),"[['can', '_lambda'], ['NULL', '$0'], ['you', 'NULL'], ['list', 'e'], ['all', 'NULL'], ['NULL', '$0'], ['round', '_round_trip'], ['NULL', '$0'], ['trip', 'NULL'], ['NULL', '$0'], ['flights', '_flight'], ['from', '_from'], ['NULL', '$0'], ['orlando', 'orlando:_ci'], ['to', '_to'], ['NULL', '$0'], ['kansas', 'kansas_city:_ci'], ['city', 'NULL'], ['and', 'NULL'], ['then', '_stop'], ['to', 'NULL'], ['minneapolis', 'minneapolis:_ci']]"
10,train,show me the united flights from denver to baltimore,( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 ua:_al ) ( _from $0 denver:_ci ) ( _to $0 baltimore:_ci ) ) ),"[['show', '_lambda'], ['NULL', '$0'], ['me', 'e'], ['NULL', '_and'], ['the', 'NULL'], ['NULL', '$0'], ['NULL', '_airline'], ['NULL', '$0'], ['united', 'ua:_al'], ['flights', '_flight'], ['NULL', '$0'], ['from', '_from'], ['denver', 'denver:_ci'], ['NULL', '$0'], ['to', '_to'], ['baltimore', 'baltimore:_ci']]"
11,train,i would like a us air flight from toronto to san diego with a stopover in denver please,( _lambda $0 e ( _and ( _flight $0 ) ( _airline $0 us:_al ) ( _from $0 toronto:_ci ) ( _to $0 san_diego:_ci ) ( _stop $0 denver:_ci ) ) ),"[['i', '_lambda'], ['NULL', '$0'], ['would', 'e'], ['NULL', '_and'], ['like', 'NULL'], ['NULL', '$0'], ['NULL', '_airline'], ['NULL', '$0'], ['a', 'NULL'], ['us', 'us:_al'], ['NULL', '$0'], ['air', 'NULL'], ['flight', '_flight'], ['NULL', '$0'], ['from', '_from'], ['toronto', 'toronto:_ci'], ['NULL', '$0'], ['to', '_to'], ['san', 'san_diego:_ci'], ['diego', 'NULL'], ['with', '_stop'], ['a', 'NULL'], ['stopover', 'NULL'], ['in', 'NULL'], ['denver', 'denver:_ci'], ['please', 'NULL']]"
